frame_index,material_id,formula,n_atoms,ref_bec_asr_max_abs,pred_bec_asr_max_abs
98,mp-9984,S4Sn2,6,0.002109999999999612,9.499999995554731e-07
970,mp-30139,Be2Br4,6,0.002089999999999703,2.399999998736746e-07
145,mp-23251,BrK,2,0.0020499999999998852,6.000000007944095e-08
186,mp-10408,CK2N2,5,0.0020399999999995977,5.799999998057359e-07
346,mp-8176,O2RbTl,4,0.002020000000000355,5.999999999062311e-07
792,mp-28013,I2Mn,3,0.0019500000000000073,1.199999999368373e-07
297,mp-9579,Al2Se4Tl2,8,0.001949999999999008,6.100000005115902e-07
397,mp-20329,Ag2In2O4,8,0.0019099999999998563,2.040000001812814e-06
984,mp-756638,Nb4O16Rh4,24,0.0018800000000034345,2.0299999883288677e-06
70,mp-358,Hg3Te3,6,0.0018599999999988626,3.600000000325565e-07
643,mp-546679,Al2N2Nd4O6,14,0.0018399999999996197,2.400000000957192e-06
1080,mp-4636,CuO2Sc,4,0.0018299999999995542,5.400000002708794e-07
134,mp-830,GaN,2,0.0018000000000002458,4.800000001914384e-07
919,mp-22875,BrTl,2,0.0017999999999998018,1.199999999368373e-07
143,mp-23209,Cl2Sr,3,0.0017800000000001148,1.7999999990525595e-07
1106,mp-14116,CuO2Rh,4,0.0017799999999998928,1.8000000001627825e-07
